File, #functions, Toplevel, Is libc
<unknown>, 0, no, yes
../../../indexgen.c, 2, yes, no
../../../indexgen.h, 0, no, no
../../../test_driver.c, 4, yes, no
TIS_KERNEL_SHARE/__tis_mkfs.c, 35, yes, yes
TIS_KERNEL_SHARE/__tis_mkfs.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 0, yes, yes
TIS_KERNEL_SHARE/libc/__fc_define_file.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_mode_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_off_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_sa_family_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_size_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_sockaddr.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_ssize_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_stat.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_uid_and_gid.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_va_list.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_define_wchar_t.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_file_axiomatic.h, 0, no, yes
TIS_KERNEL_SHARE/libc/__fc_string_axiomatic.h, 0, no, yes
TIS_KERNEL_SHARE/libc/dirent.c, 0, no, yes
TIS_KERNEL_SHARE/libc/errno.c, 0, no, yes
TIS_KERNEL_SHARE/libc/locale.h, 0, no, yes
TIS_KERNEL_SHARE/libc/stdio.c, 17, no, yes
TIS_KERNEL_SHARE/libc/stdio.h, 0, no, yes
TIS_KERNEL_SHARE/libc/stdlib.c, 2, no, yes
TIS_KERNEL_SHARE/libc/stdlib.h, 0, no, yes
TIS_KERNEL_SHARE/libc/string.h, 0, no, yes
TIS_KERNEL_SHARE/libc/sys/socket.h, 0, no, yes
TIS_KERNEL_SHARE/libc/time.h, 0, no, yes
TIS_KERNEL_SHARE/libc/unistd.h, 0, no, yes
TIS_KERNEL_SHARE/mkfs_empty_filesystem.c, 3, yes, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_DIR.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_FILE.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_dirent.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_errno.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_fpos_t.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_stat.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_internal_timespec.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/__tis_mkfs_utils.h, 0, no, yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 0, no, yes
