Function, UserName, Is defined, Is static, Addr used, #callers, Max block depth, Is reachable, Aliases, Clone origin, Spec, val-use, File, Starting line, Ending line, #reached, #total, coverage, #called, Overhead time, Self time, Total time, Memexec time, Memexec hits, Is libc, Reached stdlib, Cyclomatic complexity
__builtin_va_end, __builtin_va_end, undefined, global, no, 1, 0, unreachable, NA, NA, none, specification, <unknown>, 0, 0, 0, 0, -1.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__builtin_va_start, __builtin_va_start, undefined, global, no, 1, 0, unreachable, NA, NA, none, specification, <unknown>, 0, 0, 0, 0, -1.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__default_io_flags, __default_io_flags, defined, static, no, 1, 3, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/libc/stdio.c, 430, 436, 0, 8, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__fc_file_close, __fc_file_close, defined, static, yes, 0, 1, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/libc/stdio.c, 210, 214, 0, 3, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__fc_file_read, __fc_file_read, defined, static, yes, 0, 2, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/libc/stdio.c, 217, 232, 0, 7, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__fc_file_write, __fc_file_write, defined, static, yes, 0, 4, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/libc/stdio.c, 246, 269, 0, 14, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__fc_isateof, __fc_isateof, defined, static, no, 1, 6, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/libc/stdio.c, 193, 207, 0, 11, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__mkfs_alloc_data, __mkfs_alloc_data, defined, static, no, 1, 2, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/__tis_mkfs.c, 4016, 4033, 0, 10, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__mkfs_check_fd_file_ok, __mkfs_check_fd_file_ok, defined, global, no, 3, 4, unreachable, NA, NA, user, body, TIS_KERNEL_SHARE/__tis_mkfs.c, 530, 542, 0, 20, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
__mkfs_check_fd_file_ok_for_reading, __mkfs_check_fd_file_ok_for_reading, defined, global, no, 1, 3, unreachable, NA, NA, none, body, TIS_KERNEL_SHARE/__tis_mkfs.c, 608, 627, 0, 17, 0.0, -1, 0.0, 0.0, 0.0, 0.0, -1, libc:yes, Yes, 0
