File, Line, Function, StmtId, Kind, Name, Status, Alarm, Alarm rank, MoreInfo, Is libc
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 43, tis_bzero, -1, ensures, , considered valid, no, -1, ensures of -val-use-spec function, libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 41, tis_bzero, -1, requires, valid_buffer, never tried, no, -1, , libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 52, __tis_copy_block, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 49, __tis_copy_block, -1, requires, valid_buffer, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 50, __tis_copy_block, -1, requires, valid_count, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 288, free, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 284, free, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 285, free, -1, requires, freeable, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 290, free, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 306, malloc, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 302, malloc, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 311, malloc, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 308, malloc, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 132, tis_interval, -1, ensures, , considered valid, no, -1, ensures of -val-use-spec function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 129, tis_interval, -1, requires, valid_interval, surely valid, no, -1, , libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 183, tis_make_unknown, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 180, tis_make_unknown, -1, requires, valid_buffer, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 249, tis_nondet, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 1993, tis_long_long_interval, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 1990, tis_long_long_interval, -1, requires, valid_interval, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 426, vsnprintf, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 423, vsnprintf, -1, requires, valid_format, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 424, vsnprintf, -1, requires, valid_size, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 425, vsnprintf, -1, requires, valid_buf, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 79, memcpy, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 80, memcpy, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 73, memcpy, -1, requires, valid_dst, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 74, memcpy, -1, requires, valid_src, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 76, memcpy, -1, requires, separated_areas, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 124, memset, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 125, memset, -1, ensures, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/string.h, 121, memset, -1, requires, valid_buffer, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 889, close, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1213, read, -1, requires, valid_size, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1214, read, -1, requires, valid_buf, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1219, read, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1216, read, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1225, read, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1223, read, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1305, write, -1, requires, valid_size, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1306, write, -1, requires, valid_buf, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1311, write, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1308, write, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1316, write, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/unistd.h, 1314, write, -1, assumes, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/__tis_mkfs_utils.h, 23, __mkfs_check_fd_file_ok, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/__tis_mkfs_utils.h, 28, __mkfs_get_fd_kind, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.c, 415, __tis_flush_write_buffer, -1, requires, dirty_write_buffer, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.c, 461, __tis_write_stream, -1, requires, valid_len, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/__tis_mkfs.c, 588, __mkfs_stat_access, -1, requires, tis_access_mode, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/__tis_mkfs.c, 1083, __mkfs_check_file_data, -1, requires, check_data, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 535, abs, -1, ensures, , unknown, no, -1, , libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 533, abs, -1, requires, abs_representable_UB, surely valid, no, -1, , libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 111, ferror, -1, requires, valid_file, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 230, fwrite, -1, ensures, , never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 228, fwrite, -1, requires, valid_file, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 229, fwrite, -1, requires, valid_buffer, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 265, printf, -1, requires, valid_format, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 384, vfprintf, -1, requires, valid_file, never tried, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.h, 385, vfprintf, -1, requires, valid_format, never tried, no, -1, in unreachable function, libc:yes
../../../test_driver.c, 42, test1, 1, ensures, , valid but dead, no, -1, in unreachable function, libc:no
../../../test_driver.c, 42, test1, 1, ensures, , valid but dead, no, -1, in unreachable function, libc:no
../../../test_driver.c, 65, generalized_analysis, 1, ensures, , surely valid, no, -1, , libc:no
../../../test_driver.c, 65, generalized_analysis, 1, ensures, , surely valid, no, -1, , libc:no
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 60, __tis_std_terminate, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 42, tis_bzero, -1, assigns, , considered valid, no, -1, ensures of -val-use-spec function, libc:yes
TIS_KERNEL_SHARE/libc/__fc_builtin_for_normalization.i, 51, __tis_copy_block, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 286, free, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 282, free, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 296, free, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 303, malloc, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 299, malloc, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.h, 315, malloc, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdlib.c, 49, abs, -1, assigns, , never tried, no, -1, , libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 130, tis_interval, -1, assigns, , considered valid, no, -1, ensures of -val-use-spec function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 181, tis_make_unknown, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 247, tis_nondet, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 1991, tis_long_long_interval, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/tis-lib/tis_builtin.h, 3045, tis_show_each, -1, assigns, , considered valid, no, -1, in unreachable function, libc:yes
TIS_KERNEL_SHARE/libc/stdio.c, 2776, printf, -1, assigns, , never tried, no, -1, in unreachable function, libc:yes
