Sid, File, Line, Function, Number, Reachable, Dead code entry, Dead code exit, Dead Id, Kind, More, Join reason, SlevelCounter, SlevelLimit, Slevel ratio, Widening, Self time, Self time, Is libc
1, TIS_KERNEL_SHARE/libc/stdio.c, 183, __tis_check_stream, 1, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
3, TIS_KERNEL_SHARE/libc/stdio.c, 184, __tis_check_stream, 2, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
4, TIS_KERNEL_SHARE/libc/stdio.c, 185, __tis_check_stream, 3, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1107, TIS_KERNEL_SHARE/libc/stdio.c, 187, __tis_check_stream, 4, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
9, TIS_KERNEL_SHARE/libc/stdio.c, 198, __fc_isateof, 1, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
11, TIS_KERNEL_SHARE/libc/stdio.c, 199, __fc_isateof, 2, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
13, TIS_KERNEL_SHARE/libc/stdio.c, 200, __fc_isateof, 3, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
14, TIS_KERNEL_SHARE/libc/stdio.c, 200, __fc_isateof, 4, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
16, TIS_KERNEL_SHARE/libc/stdio.c, 200, __fc_isateof, 5, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
17, TIS_KERNEL_SHARE/libc/stdio.c, 202, __fc_isateof, 6, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
18, TIS_KERNEL_SHARE/libc/stdio.c, 200, __fc_isateof, 7, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
19, TIS_KERNEL_SHARE/libc/stdio.c, 203, __fc_isateof, 8, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1109, TIS_KERNEL_SHARE/libc/stdio.c, 203, __fc_isateof, 9, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
24, TIS_KERNEL_SHARE/libc/stdio.c, 206, __fc_isateof, 10, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1110, TIS_KERNEL_SHARE/libc/stdio.c, 206, __fc_isateof, 11, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
27, TIS_KERNEL_SHARE/libc/stdio.c, 212, __fc_file_close, 1, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
28, TIS_KERNEL_SHARE/libc/stdio.c, 213, __fc_file_close, 2, unreachable, no, no, 0, function call, direct call: close, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
29, TIS_KERNEL_SHARE/libc/stdio.c, 213, __fc_file_close, 3, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
32, TIS_KERNEL_SHARE/libc/stdio.c, 219, __fc_file_read, 1, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
33, TIS_KERNEL_SHARE/libc/stdio.c, 220, __fc_file_read, 2, unreachable, no, no, 0, function call, direct call: read, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
35, TIS_KERNEL_SHARE/libc/stdio.c, 221, __fc_file_read, 3, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
36, TIS_KERNEL_SHARE/libc/stdio.c, 227, __fc_file_read, 4, unreachable, no, no, 0, unspecified sequence, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
37, TIS_KERNEL_SHARE/libc/stdio.c, 227, __fc_file_read, 5, unreachable, no, no, 0, function call, direct call: tis_interval, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
38, TIS_KERNEL_SHARE/libc/stdio.c, 227, __fc_file_read, 6, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
41, TIS_KERNEL_SHARE/libc/stdio.c, 231, __fc_file_read, 7, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
44, TIS_KERNEL_SHARE/libc/stdio.c, 248, __fc_file_write, 1, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
45, TIS_KERNEL_SHARE/libc/stdio.c, 249, __fc_file_write, 2, unreachable, no, no, 0, function call, direct call: write, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
47, TIS_KERNEL_SHARE/libc/stdio.c, 250, __fc_file_write, 3, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
48, TIS_KERNEL_SHARE/libc/stdio.c, 256, __fc_file_write, 4, unreachable, no, no, 0, unspecified sequence, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
49, TIS_KERNEL_SHARE/libc/stdio.c, 256, __fc_file_write, 5, unreachable, no, no, 0, function call, direct call: tis_interval, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
50, TIS_KERNEL_SHARE/libc/stdio.c, 256, __fc_file_write, 6, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
52, TIS_KERNEL_SHARE/libc/stdio.c, 259, __fc_file_write, 7, unreachable, no, no, 0, block, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
54, TIS_KERNEL_SHARE/libc/stdio.c, 259, __fc_file_write, 8, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
55, TIS_KERNEL_SHARE/libc/stdio.c, 259, __fc_file_write, 9, unreachable, no, no, 0, function call, direct call: __fc_isateof, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
56, TIS_KERNEL_SHARE/libc/stdio.c, 259, __fc_file_write, 10, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
57, TIS_KERNEL_SHARE/libc/stdio.c, 265, __fc_file_write, 11, unreachable, no, no, 0, unspecified sequence, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
58, TIS_KERNEL_SHARE/libc/stdio.c, 265, __fc_file_write, 12, unreachable, no, no, 0, function call, direct call: tis_interval, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
59, TIS_KERNEL_SHARE/libc/stdio.c, 265, __fc_file_write, 13, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
63, TIS_KERNEL_SHARE/libc/stdio.c, 268, __fc_file_write, 14, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
66, TIS_KERNEL_SHARE/libc/stdio.c, 397, __tis_allocate_buffer, 1, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
67, TIS_KERNEL_SHARE/libc/stdio.c, 398, __tis_allocate_buffer, 2, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
69, TIS_KERNEL_SHARE/libc/stdio.c, 402, __tis_allocate_buffer, 3, unreachable, no, no, 0, function call, direct call: malloc, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
71, TIS_KERNEL_SHARE/libc/stdio.c, 403, __tis_allocate_buffer, 4, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
72, TIS_KERNEL_SHARE/libc/stdio.c, 404, __tis_allocate_buffer, 5, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1115, TIS_KERNEL_SHARE/libc/stdio.c, 404, __tis_allocate_buffer, 6, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
74, TIS_KERNEL_SHARE/libc/stdio.c, 408, __tis_allocate_buffer, 7, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
75, TIS_KERNEL_SHARE/libc/stdio.c, 409, __tis_allocate_buffer, 8, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
76, TIS_KERNEL_SHARE/libc/stdio.c, 410, __tis_allocate_buffer, 9, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
77, TIS_KERNEL_SHARE/libc/stdio.c, 411, __tis_allocate_buffer, 10, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1116, TIS_KERNEL_SHARE/libc/stdio.c, 411, __tis_allocate_buffer, 11, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
79, TIS_KERNEL_SHARE/libc/stdio.c, 420, __tis_flush_write_buffer, 1, unreachable, no, no, 0, function call, indirect call (-), <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
81, TIS_KERNEL_SHARE/libc/stdio.c, 422, __tis_flush_write_buffer, 2, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
82, TIS_KERNEL_SHARE/libc/stdio.c, 423, __tis_flush_write_buffer, 3, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
85, TIS_KERNEL_SHARE/libc/stdio.c, 424, __tis_flush_write_buffer, 4, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
86, TIS_KERNEL_SHARE/libc/stdio.c, 425, __tis_flush_write_buffer, 5, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1118, TIS_KERNEL_SHARE/libc/stdio.c, 425, __tis_flush_write_buffer, 6, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
88, TIS_KERNEL_SHARE/libc/stdio.c, 426, __tis_flush_write_buffer, 7, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
89, TIS_KERNEL_SHARE/libc/stdio.c, 427, __tis_flush_write_buffer, 8, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1119, TIS_KERNEL_SHARE/libc/stdio.c, 427, __tis_flush_write_buffer, 9, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
91, TIS_KERNEL_SHARE/libc/stdio.c, 431, __default_io_flags, 1, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
93, TIS_KERNEL_SHARE/libc/stdio.c, 433, __default_io_flags, 2, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
94, TIS_KERNEL_SHARE/libc/stdio.c, 433, __default_io_flags, 3, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
96, TIS_KERNEL_SHARE/libc/stdio.c, 434, __default_io_flags, 4, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
97, TIS_KERNEL_SHARE/libc/stdio.c, 434, __default_io_flags, 5, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
98, TIS_KERNEL_SHARE/libc/stdio.c, 434, __default_io_flags, 6, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
99, TIS_KERNEL_SHARE/libc/stdio.c, 433, __default_io_flags, 7, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
100, TIS_KERNEL_SHARE/libc/stdio.c, 433, __default_io_flags, 8, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
102, TIS_KERNEL_SHARE/libc/stdio.c, 442, __tis_flush_stream, 1, unreachable, no, no, 0, unspecified sequence, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
103, TIS_KERNEL_SHARE/libc/stdio.c, 442, __tis_flush_stream, 2, unreachable, no, no, 0, function call, direct call: __default_io_flags, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
104, TIS_KERNEL_SHARE/libc/stdio.c, 442, __tis_flush_stream, 3, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
106, TIS_KERNEL_SHARE/libc/stdio.c, 444, __tis_flush_stream, 4, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
107, TIS_KERNEL_SHARE/libc/stdio.c, 446, __tis_flush_stream, 5, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1122, TIS_KERNEL_SHARE/libc/stdio.c, 446, __tis_flush_stream, 6, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
110, TIS_KERNEL_SHARE/libc/stdio.c, 452, __tis_flush_stream, 7, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
111, TIS_KERNEL_SHARE/libc/stdio.c, 454, __tis_flush_stream, 8, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1123, TIS_KERNEL_SHARE/libc/stdio.c, 454, __tis_flush_stream, 9, unreachable, no, no, 0, jump, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
113, TIS_KERNEL_SHARE/libc/stdio.c, 456, __tis_flush_stream, 10, unreachable, no, no, 0, function call, direct call: __tis_flush_write_buffer, <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
114, TIS_KERNEL_SHARE/libc/stdio.c, 456, __tis_flush_stream, 11, unreachable, no, no, 0, instruction, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
1124, TIS_KERNEL_SHARE/libc/stdio.c, 456, __tis_flush_stream, 12, unreachable, no, no, 0, return, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
117, TIS_KERNEL_SHARE/libc/stdio.c, 465, __tis_write_stream, 1, unreachable, no, no, 0, test, , <none>, -1, -1, -1, -1, 0.0, 0.0, libc:yes
